2019-07-01T00:26:46.857000	2019-07-01T00:27:18.457000
2019-07-01T00:32:41.857000	2019-07-01T00:32:55.257000
2019-07-01T00:43:03.107000	2019-07-01T00:43:17.457000
2019-07-01T00:45:51.507000	2019-07-01T00:46:05.857000
2019-07-01T00:46:20.007000	2019-07-01T00:46:34.257000
2019-07-01T01:13:48.507000	2019-07-01T01:14:04.707000
2019-07-01T01:17:44.657000	2019-07-01T01:17:59.657000
2019-07-01T01:23:11.057000	2019-07-01T01:23:28.257000
2019-07-01T01:27:50.007000	2019-07-01T01:28:10.957000
2019-07-01T01:32:42.357000	2019-07-01T01:33:00.657000
2019-07-01T01:38:39.057000	2019-07-01T01:39:04.057000
2019-07-01T01:40:02.157000	2019-07-01T01:40:14.557000
2019-07-01T01:49:22.007000	2019-07-01T01:49:35.557000
2019-07-01T02:01:47.507000	2019-07-01T02:02:00.457000
2019-07-01T02:07:36.457000	2019-07-01T02:07:51.257000
2019-07-01T02:19:35.757000	2019-07-01T02:19:58.357000
2019-07-01T02:22:14.057000	2019-07-01T02:22:31.107000
2019-07-01T02:37:03.657000	2019-07-01T02:37:41.457000
2019-07-01T02:43:00.657000	2019-07-01T02:43:25.707000
2019-07-01T02:47:41.307000	2019-07-01T02:47:57.257000
2019-07-01T02:56:51.557000	2019-07-01T02:57:05.807000
2019-07-01T03:05:49.407000	2019-07-01T03:06:35.957000
2019-07-01T03:09:22.607000	2019-07-01T03:09:43.257000
2019-07-01T03:17:09.957000	2019-07-01T03:17:37.707000
2019-07-01T03:18:30.907000	2019-07-01T03:19:38.607000
2019-07-01T03:21:11.307000	2019-07-01T03:21:26.807000
2019-07-01T03:25:13.207000	2019-07-01T03:25:42.557000
2019-07-01T03:38:27.507000	2019-07-01T03:38:41.407000
2019-07-01T03:41:56.407000	2019-07-01T03:42:07.557000
2019-07-01T03:47:27.007000	2019-07-01T03:47:44.407000
2019-07-01T04:00:41.357000	2019-07-01T04:01:10.557000
2019-07-01T04:01:17.707000	2019-07-01T04:01:42.307000
2019-07-01T04:10:42.707000	2019-07-01T04:10:59.557000
2019-07-01T04:21:13.107000	2019-07-01T04:21:31.857000
2019-07-01T04:22:05.257000	2019-07-01T04:22:27.907000
2019-07-01T04:25:24.457000	2019-07-01T04:25:49.107000
