2019-05-22T23:31:39.649000	2019-05-22T23:31:56.949000
2019-05-22T23:47:04.149000	2019-05-22T23:47:18.849000
2019-05-22T23:57:34.649000	2019-05-22T23:57:58.749000
2019-05-23T00:05:46.449000	2019-05-23T00:06:04.149000
2019-05-23T00:06:43.549000	2019-05-23T00:06:59.149000
2019-05-23T00:27:19.649000	2019-05-23T00:27:49.549000
2019-05-23T00:38:10.549000	2019-05-23T00:38:25.449000
2019-05-23T01:00:01.249000	2019-05-23T01:00:16.949000
2019-05-23T01:09:19.049000	2019-05-23T01:09:48.549000
2019-05-23T01:40:27.949000	2019-05-23T01:40:41.949000
2019-05-23T01:47:41.649000	2019-05-23T01:47:55.649000
2019-05-23T02:08:11.249000	2019-05-23T02:08:30.049000
2019-05-23T02:17:22.249000	2019-05-23T02:17:41.749000
2019-05-23T02:20:57.449000	2019-05-23T02:21:22.749000
2019-05-23T02:23:16.549000	2019-05-23T02:23:38.249000
2019-05-23T02:27:59.249000	2019-05-23T02:28:13.949000
2019-05-23T02:28:21.749000	2019-05-23T02:28:45.849000
2019-05-23T02:38:07.949000	2019-05-23T02:38:55.049000
2019-05-23T02:45:21.149000	2019-05-23T02:45:36.149000
2019-05-23T02:50:27.949000	2019-05-23T02:50:53.949000
2019-05-23T02:52:52.449000	2019-05-23T02:53:12.149000
2019-05-23T03:04:00.249000	2019-05-23T03:04:18.449000
2019-05-23T03:21:49.349000	2019-05-23T03:22:14.849000
2019-05-23T03:26:22.449000	2019-05-23T03:26:35.249000
2019-05-23T03:29:41.049000	2019-05-23T03:29:54.949000
2019-05-23T03:38:46.149000	2019-05-23T03:39:02.649000
2019-05-23T04:00:50.949000	2019-05-23T04:01:02.949000
2019-05-23T04:05:55.149000	2019-05-23T04:06:10.749000
2019-05-23T04:15:56.549000	2019-05-23T04:16:13.949000
2019-05-23T04:57:04.549000	2019-05-23T04:57:24.449000
2019-05-23T05:15:11.149000	2019-05-23T05:15:21.849000
2019-05-23T05:22:21.749000	2019-05-23T05:22:40.649000
2019-05-23T05:36:49.549000	2019-05-23T05:37:08.949000
2019-05-23T05:48:17.049000	2019-05-23T05:48:43.549000
2019-05-23T06:50:26.949000	2019-05-23T06:50:46.849000
2019-05-23T06:51:34.149000	2019-05-23T06:51:48.049000
2019-05-23T06:52:41.549000	2019-05-23T06:53:09.149000
2019-05-23T07:06:16.449000	2019-05-23T07:06:35.949000
2019-05-23T07:13:26.549000	2019-05-23T07:13:46.349000
2019-05-23T07:17:12.549000	2019-05-23T07:17:35.449000
2019-05-23T07:47:46.249000	2019-05-23T07:47:58.649000
2019-05-23T09:05:21.349000	2019-05-23T09:05:47.349000
2019-05-23T09:11:15.049000	2019-05-23T09:11:40.549000
2019-05-23T09:17:59.249000	2019-05-23T09:18:15.349000
2019-05-23T10:11:28.349000	2019-05-23T10:11:41.849000
2019-05-23T10:20:41.249000	2019-05-23T10:21:02.049000
2019-05-23T10:36:14.849000	2019-05-23T10:36:23.549000
2019-05-23T10:37:38.749000	2019-05-23T10:37:49.549000
2019-05-23T10:44:44.349000	2019-05-23T10:45:01.549000
2019-05-23T10:52:31.749000	2019-05-23T10:52:43.649000
2019-05-23T10:53:00.049000	2019-05-23T10:53:17.849000
2019-05-23T11:02:15.549000	2019-05-23T11:02:32.749000
2019-05-23T11:04:39.349000	2019-05-23T11:05:01.049000
2019-05-23T11:18:29.749000	2019-05-23T11:18:56.249000
2019-05-23T11:24:13.849000	2019-05-23T11:24:28.849000
2019-05-23T11:39:20.249000	2019-05-23T11:39:51.049000
2019-05-23T11:42:11.749000	2019-05-23T11:42:31.649000
2019-05-23T11:47:45.949000	2019-05-23T11:48:09.449000
2019-05-23T11:50:36.649000	2019-05-23T11:50:58.149000
2019-05-23T12:06:39.649000	2019-05-23T12:06:55.349000
2019-05-23T12:11:09.249000	2019-05-23T12:11:21.749000
2019-05-23T12:28:09.249000	2019-05-23T12:28:31.049000
2019-05-23T12:52:29.949000	2019-05-23T12:52:43.449000
2019-05-23T12:56:21.149000	2019-05-23T12:56:38.649000
2019-05-23T13:09:15.249000	2019-05-23T13:09:47.149000
2019-05-23T13:16:51.149000	2019-05-23T13:17:06.649000
2019-05-23T13:19:55.349000	2019-05-23T13:20:12.949000
2019-05-23T13:22:41.549000	2019-05-23T13:22:52.649000
2019-05-23T13:39:32.149000	2019-05-23T13:39:45.949000
2019-05-23T13:40:52.449000	2019-05-23T13:41:17.249000
2019-05-23T13:51:12.349000	2019-05-23T13:51:38.449000
2019-05-23T13:56:15.349000	2019-05-23T13:56:27.649000
2019-05-23T14:30:54.249000	2019-05-23T14:31:12.849000
2019-05-23T14:41:58.249000	2019-05-23T14:42:15.949000
2019-05-23T14:51:42.149000	2019-05-23T14:51:59.249000
2019-05-23T14:52:41.249000	2019-05-23T14:53:01.849000
2019-05-23T15:18:17.149000	2019-05-23T15:18:34.849000
2019-05-23T15:38:16.649000	2019-05-23T15:38:23.249000
2019-05-23T15:56:51.849000	2019-05-23T15:56:57.649000
2019-05-23T16:07:58.249000	2019-05-23T16:08:03.649000
2019-05-23T16:15:19.349000	2019-05-23T16:15:42.049000
2019-05-23T16:18:43.149000	2019-05-23T16:19:22.049000
2019-05-23T16:19:49.349000	2019-05-23T16:20:13.549000
2019-05-23T16:26:53.149000	2019-05-23T16:27:14.149000
2019-05-23T16:30:53.849000	2019-05-23T16:31:16.549000
2019-05-23T16:31:51.349000	2019-05-23T16:32:06.549000
2019-05-23T16:38:05.149000	2019-05-23T16:38:39.749000
2019-05-23T16:40:14.449000	2019-05-23T16:40:28.949000
2019-05-23T16:46:11.949000	2019-05-23T16:46:30.649000
2019-05-23T16:47:06.649000	2019-05-23T16:47:50.949000
2019-05-23T16:53:01.549000	2019-05-23T16:53:23.049000
2019-05-23T16:53:29.149000	2019-05-23T16:53:55.949000
2019-05-23T16:56:37.649000	2019-05-23T16:56:59.949000
2019-05-23T16:58:14.849000	2019-05-23T16:58:30.249000
2019-05-23T17:00:15.349000	2019-05-23T17:01:03.249000
2019-05-23T17:05:15.449000	2019-05-23T17:05:29.849000
2019-05-23T17:06:35.749000	2019-05-23T17:06:59.149000
2019-05-23T17:08:02.949000	2019-05-23T17:08:27.449000
2019-05-23T17:10:20.249000	2019-05-23T17:10:33.049000
2019-05-23T17:10:33.549000	2019-05-23T17:10:47.649000
2019-05-23T17:11:32.149000	2019-05-23T17:12:03.849000
2019-05-23T17:13:50.149000	2019-05-23T17:14:05.149000
2019-05-23T17:16:44.849000	2019-05-23T17:17:37.249000
2019-05-23T17:19:06.249000	2019-05-23T17:19:22.949000
2019-05-23T17:26:11.349000	2019-05-23T17:26:43.249000
2019-05-23T17:32:16.549000	2019-05-23T17:32:34.449000
2019-05-23T17:37:01.649000	2019-05-23T17:37:22.549000
2019-05-23T17:38:18.649000	2019-05-23T17:38:30.649000
2019-05-23T17:41:32.749000	2019-05-23T17:41:51.249000
2019-05-23T17:43:10.649000	2019-05-23T17:43:37.349000
2019-05-23T17:46:28.149000	2019-05-23T17:47:17.849000
2019-05-23T17:50:34.049000	2019-05-23T17:51:26.849000
2019-05-23T17:59:40.449000	2019-05-23T18:00:03.449000
2019-05-23T18:00:48.549000	2019-05-23T18:01:03.049000
2019-05-23T18:04:45.849000	2019-05-23T18:05:19.149000
2019-05-23T18:06:43.849000	2019-05-23T18:07:25.349000
2019-05-23T18:08:07.249000	2019-05-23T18:08:20.949000
2019-05-23T18:10:01.649000	2019-05-23T18:10:27.449000
2019-05-23T18:13:07.049000	2019-05-23T18:13:24.649000
2019-05-23T18:13:59.149000	2019-05-23T18:14:18.949000
2019-05-23T18:16:03.349000	2019-05-23T18:16:46.049000
2019-05-23T18:18:27.849000	2019-05-23T18:18:49.649000
2019-05-23T18:22:58.449000	2019-05-23T18:23:15.149000
2019-05-23T18:32:47.349000	2019-05-23T18:33:06.849000
2019-05-23T18:42:14.949000	2019-05-23T18:42:57.349000
2019-05-23T18:43:24.449000	2019-05-23T18:44:07.749000
2019-05-23T18:56:17.149000	2019-05-23T18:56:33.849000
2019-05-23T19:01:18.549000	2019-05-23T19:01:49.949000
2019-05-23T19:04:57.749000	2019-05-23T19:05:54.649000
2019-05-23T19:16:24.249000	2019-05-23T19:16:49.149000
2019-05-23T20:37:01.349000	2019-05-23T20:37:19.249000
2019-05-23T20:57:35.449000	2019-05-23T20:57:53.149000
2019-05-23T23:07:30.449000	2019-05-23T23:07:45.949000
2019-05-23T23:19:15.149000	2019-05-23T23:19:28.549000
2019-05-23T23:21:46.049000	2019-05-23T23:22:13.049000
2019-05-23T23:43:18.149000	2019-05-23T23:44:06.049000
