2019-07-01T00:43:06.107000	2019-07-01T00:43:21.707000
2019-07-01T00:45:55.407000	2019-07-01T00:46:39.607000
2019-07-01T00:47:50.457000	2019-07-01T00:48:23.857000
2019-07-01T01:08:55.657000	2019-07-01T01:09:15.407000
2019-07-01T01:13:48.857000	2019-07-01T01:14:03.707000
2019-07-01T01:17:44.457000	2019-07-01T01:18:00.407000
2019-07-01T01:27:32.407000	2019-07-01T01:27:44.057000
2019-07-01T01:27:50.957000	2019-07-01T01:28:03.407000
2019-07-01T01:32:41.307000	2019-07-01T01:32:57.757000
2019-07-01T01:42:28.307000	2019-07-01T01:42:44.807000
2019-07-01T01:44:32.457000	2019-07-01T01:44:58.857000
2019-07-01T01:55:04.107000	2019-07-01T01:55:30.857000
2019-07-01T02:01:44.107000	2019-07-01T02:02:00.257000
2019-07-01T02:07:36.107000	2019-07-01T02:07:52.257000
2019-07-01T02:13:41.907000	2019-07-01T02:13:53.357000
2019-07-01T02:47:36.207000	2019-07-01T02:47:50.107000
2019-07-01T02:51:31.657000	2019-07-01T02:51:53.257000
2019-07-01T03:09:26.107000	2019-07-01T03:09:37.457000
2019-07-01T03:21:11.257000	2019-07-01T03:21:27.557000
2019-07-01T03:25:12.707000	2019-07-01T03:25:26.407000
2019-07-01T04:00:46.607000	2019-07-01T04:00:57.707000
2019-07-01T04:01:02.107000	2019-07-01T04:01:21.857000
2019-07-01T04:01:21.957000	2019-07-01T04:01:43.357000
2019-07-01T04:04:27.507000	2019-07-01T04:04:57.157000
2019-07-01T04:10:42.757000	2019-07-01T04:10:58.357000
2019-07-01T04:16:13.957000	2019-07-01T04:17:02.257000
2019-07-01T04:33:58.857000	2019-07-01T04:34:25.257000
2019-07-01T04:35:47.757000	2019-07-01T04:36:12.257000
2019-07-01T04:42:10.557000	2019-07-01T04:42:49.657000
2019-07-01T04:44:40.007000	2019-07-01T04:44:54.207000
2019-07-01T05:12:43.957000	2019-07-01T05:13:01.907000
2019-07-01T05:15:39.407000	2019-07-01T05:15:51.707000
2019-07-01T05:17:09.557000	2019-07-01T05:17:25.757000
2019-07-01T05:17:42.557000	2019-07-01T05:18:31.757000
2019-07-01T05:22:46.807000	2019-07-01T05:23:01.857000
2019-07-01T05:54:06.657000	2019-07-01T05:54:18.807000
2019-07-01T06:01:09.457000	2019-07-01T06:01:28.707000
2019-07-01T06:27:49.707000	2019-07-01T06:28:02.707000
2019-07-01T06:38:02.257000	2019-07-01T06:38:19.257000
2019-07-01T06:39:56.057000	2019-07-01T06:40:22.857000
2019-07-01T07:55:51.207000	2019-07-01T07:56:10.207000
2019-07-01T10:07:14.257000	2019-07-01T10:07:30.357000
2019-07-01T12:11:49.407000	2019-07-01T12:12:04.907000
2019-07-01T12:49:29.907000	2019-07-01T12:49:43.757000
2019-07-01T13:53:18.657000	2019-07-01T13:53:35.407000
2019-07-01T14:06:03.257000	2019-07-01T14:06:26.807000
2019-07-01T14:57:26.807000	2019-07-01T14:57:44.407000
2019-07-01T15:09:04.407000	2019-07-01T15:09:25.307000
2019-07-01T15:16:02.957000	2019-07-01T15:16:15.207000
2019-07-01T15:32:51.557000	2019-07-01T15:33:35.957000
2019-07-01T15:46:22.757000	2019-07-01T15:46:41.207000
